ts,limit,rtt_avg_s,rtt_min_s,gradient
2026-09-01T03:52:59.525192+00:00,4,0.007992787065399154,0.005029711959486654,0.6292813656027848
2026-09-01T03:53:00.528809+00:00,4,0.007473540659806579,0.0050430252615375195,0.6747839466050402
2026-09-01T03:53:01.530031+00:00,4,0.007487199348636663,0.005006873005186208,0.6687244151042812
2026-09-01T03:53:02.530710+00:00,4,0.007755670993510841,0.005027658405015245,0.6482557613934217
2026-09-01T03:53:03.531895+00:00,4,0.009361214673155606,0.005041453935118625,0.5385469846744988
2026-09-01T03:53:04.533287+00:00,4,0.007405668248960568,0.00494505200185813,0.6677387962324938
2026-09-01T03:53:05.534097+00:00,4,0.007423795456938655,0.004946417051542085,0.6662922059522683
2026-09-01T03:53:06.536598+00:00,4,0.0069430249136477945,0.004768778002471663,0.6868444318985161
2026-09-01T03:53:07.536795+00:00,4,0.007365082276244779,0.004788616452424321,0.6501782699521836
2026-09-01T03:53:08.537573+00:00,4,0.007028911780810088,0.004794350979573209,0.6820900772524215
2026-09-01T03:53:09.537873+00:00,4,0.00713855492321249,0.004822501130180171,0.6755570535009557
2026-09-01T03:53:10.538793+00:00,4,0.007252270325584041,0.004828137023483759,0.6657414584301142
2026-09-01T03:53:11.540385+00:00,4,0.007234996154319722,0.004848112072363973,0.6700918658359427
2026-09-01T03:53:12.540896+00:00,4,0.007307661478873109,0.0048665397688720255,0.6659503567511285
2026-09-01T03:53:13.541161+00:00,4,0.006950741060023638,0.004876756930901741,0.7016168331963667
2026-09-01T03:53:14.542839+00:00,4,0.007627539753386947,0.00489281048412111,0.6414664023151762
2026-09-01T03:53:15.544268+00:00,4,0.007675869894732952,0.004912354160119964,0.639973609178907
2026-09-01T03:53:16.547518+00:00,4,0.007501204815290058,0.004932583052200627,0.6575721065696422
2026-09-01T03:53:17.548671+00:00,4,0.0070852735198237565,0.004948754549534124,0.6984563878427691
2026-09-01T03:53:18.549196+00:00,4,0.007122352147514072,0.00497353287183709,0.6982992091416051
2026-09-01T03:53:19.552591+00:00,4,0.007138093061094435,0.004979828027831436,0.6976412306773587
2026-09-01T03:53:20.553608+00:00,4,0.007110112571146286,0.004987586576207119,0.7014778635780481
2026-09-01T03:53:21.555301+00:00,4,0.007143595357460276,0.005003677297031804,0.7004424308280999
2026-09-01T03:53:22.557437+00:00,4,0.007417211816228866,0.005005059582289498,0.6747898949492616
2026-09-01T03:53:23.559824+00:00,4,0.007229735805030688,0.005006129753034695,0.6924360568682558
2026-09-01T03:53:24.564024+00:00,4,0.007574368999749877,0.005016737765196185,0.6623307849620014
2026-09-01T03:53:25.564452+00:00,4,0.007424909106404931,0.0048409099981654435,0.6519823918099605
2026-09-01T03:53:26.564681+00:00,4,0.007599377949979195,0.004868483498285059,0.6406423697216411
2026-09-01T03:53:27.567916+00:00,4,0.007179226775086968,0.004886993973559584,0.6807131361998776
2026-09-01T03:53:28.568994+00:00,4,0.007576127787607842,0.0049040652250005225,0.6473049772235928
2026-09-01T03:53:29.570228+00:00,4,0.00953210933290123,0.004912535063837822,0.5153670496499251
2026-09-01T03:53:30.570752+00:00,4,0.00802588557734074,0.004936357710284619,0.615054583412116
2026-09-01T03:53:31.571528+00:00,4,0.007605717580383151,0.004939912824787522,0.6494999022220683
2026-09-01T03:53:32.572022+00:00,4,0.007074189441040039,0.004942582733475305,0.6986783114403919
2026-09-01T03:53:33.572405+00:00,4,0.007981790228695345,0.0049537459469919986,0.6206309368019696
2026-09-01T03:53:34.576025+00:00,4,0.007513122474432882,0.004974490049678605,0.6621068758837313
2026-09-01T03:53:35.577710+00:00,4,0.007392901206294335,0.004993673147404257,0.6754686702904443
2026-09-01T03:53:36.578550+00:00,4,0.006915281452451542,0.004995221189837655,0.7223453194470913
2026-09-01T03:53:37.580178+00:00,4,0.007183410908900052,0.005010570330762302,0.6975196594356506
2026-09-01T03:53:38.579705+00:00,4,0.007193584833068497,0.005025749663981932,0.698643274613076
2026-09-01T03:53:39.580233+00:00,4,0.007327921640751584,0.005028528780665044,0.6862148678966081
2026-09-01T03:53:40.581448+00:00,4,0.007268610943599202,0.004799602000275627,0.660319012465813
2026-09-01T03:53:41.583416+00:00,4,0.007616632977046562,0.004828347600414418,0.6339215260818128
2026-09-01T03:53:42.584299+00:00,4,0.007128225256442393,0.004833711520332145,0.678108694161075
2026-09-01T03:53:43.587100+00:00,4,0.007277235672970159,0.0048414161443579365,0.6652823079978586
2026-09-01T03:53:44.588839+00:00,4,0.007287982790775398,0.004851283437112944,0.6656551718609088
2026-09-01T03:53:45.591101+00:00,4,0.007198095314812409,0.004871496464789435,0.6767757652173285
2026-09-01T03:53:46.592066+00:00,4,0.007495317224607582,0.00488197919159609,0.6513372343425647
2026-09-01T03:53:47.594560+00:00,4,0.007601931214624832,0.004903385682095503,0.6450184227742309
2026-09-01T03:53:48.594897+00:00,4,0.0072547400923504615,0.0049310881483394416,0.6797056938730136
2026-09-01T03:53:49.596637+00:00,4,0.007266651890298817,0.004936220790526258,0.6792978203780823
2026-09-01T03:53:50.598506+00:00,4,0.007042105076067173,0.004952375450948781,0.7032521380261127
2026-09-01T03:53:51.599706+00:00,4,0.0075572865051926515,0.004957833528314101,0.656033554491754
2026-09-01T03:53:52.600127+00:00,4,0.0070834597202194234,0.004967302501892039,0.7012537231930738
2026-09-01T03:53:53.601806+00:00,4,0.007165462168967666,0.004945784996380098,0.6902255402030322
2026-09-01T03:53:54.602146+00:00,4,0.007618876384716896,0.004959668046649312,0.6509710613756867
2026-09-01T03:53:55.604643+00:00,4,0.007864058144889682,0.004971622044140531,0.6321954838763814
2026-09-01T03:53:56.605617+00:00,4,0.0071938486836573175,0.0049802737919144415,0.6922961561908325
2026-09-01T03:53:57.606527+00:00,4,0.007191223275575405,0.004834870997001417,0.6723294232043652
2026-09-01T03:53:58.607069+00:00,4,0.00723223732680654,0.004845747197396122,0.6700204899851933
2026-09-01T03:53:59.607209+00:00,4,0.00727093010907758,0.004875431287073298,0.6705374984950605
2026-09-01T03:54:00.609896+00:00,4,0.007491634114924149,0.004892174022308609,0.6530182797585999
2026-09-01T03:54:01.612166+00:00,4,0.007821216773218774,0.0049063087712969715,0.6273076061639205
2026-09-01T03:54:02.614132+00:00,4,0.008064387209470116,0.00492705648277968,0.610964770763211
2026-09-01T03:54:03.615990+00:00,4,0.008091146728908847,0.00495953245886004,0.6129579187014534
